                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    101,                0.00412,                0.97137,                      1,                0.33621,               0.009009,               0.009009,               0.009009
                    102,                0.00182,                0.96696,                      1,                0.34572,              0.0089991,              0.0089991,              0.0089991
                    103,                0.00093,                0.96035,                      1,                 0.3492,              0.0089892,              0.0089892,              0.0089892
                    104,                0.00098,                0.95374,                      1,                0.36077,              0.0089793,              0.0089793,              0.0089793
                    105,                0.00546,                0.95154,                      1,                0.35783,              0.0089694,              0.0089694,              0.0089694
                    106,                0.00197,                0.96035,                      1,                0.35439,              0.0089595,              0.0089595,              0.0089595
                    107,                0.00078,                0.96476,                      1,                0.34419,              0.0089495,              0.0089495,              0.0089495
                    108,                0.00639,                0.96696,                      1,                0.34977,              0.0089396,              0.0089396,              0.0089396
                    109,                0.00196,                0.95815,                      1,                0.34919,              0.0089297,              0.0089297,              0.0089297
                    110,                0.00541,                0.96035,                      1,                0.34884,              0.0089198,              0.0089198,              0.0089198
                    111,                0.00042,                0.95815,                      1,                0.35343,              0.0089099,              0.0089099,              0.0089099
                    112,                0.00053,                0.96035,                      1,                0.34896,                 0.0089,                 0.0089,                 0.0089
                    113,                0.01678,                0.97357,                      1,                0.33971,              0.0088901,              0.0088901,              0.0088901
                    114,                0.00288,                0.94714,                      1,                0.37944,              0.0088802,              0.0088802,              0.0088802
                    115,                 0.0011,                0.94493,                      1,                0.36416,              0.0088703,              0.0088703,              0.0088703
                    116,                0.01524,                0.96696,                      1,                0.34852,              0.0088604,              0.0088604,              0.0088604
                    117,                0.01377,                0.96916,                      1,                0.34328,              0.0088505,              0.0088505,              0.0088505
                    118,                0.00514,                0.97357,                      1,                0.33617,              0.0088405,              0.0088405,              0.0088405
                    119,                0.00856,                0.97797,                      1,                 0.3355,              0.0088306,              0.0088306,              0.0088306
                    120,                0.00188,                0.98458,                      1,                0.33031,              0.0088207,              0.0088207,              0.0088207
                    121,                0.00869,                0.97577,                      1,                0.33346,              0.0088108,              0.0088108,              0.0088108
                    122,                0.00364,                0.97797,                      1,                0.33729,              0.0088009,              0.0088009,              0.0088009
                    123,                0.00118,                0.97797,                      1,                0.33366,               0.008791,               0.008791,               0.008791
                    124,                0.00465,                0.97577,                      1,                0.33911,              0.0087811,              0.0087811,              0.0087811
                    125,                 0.0018,                0.97357,                      1,                0.33823,              0.0087712,              0.0087712,              0.0087712
                    126,                0.00221,                0.96916,                      1,                0.34111,              0.0087613,              0.0087613,              0.0087613
                    127,                0.00053,                0.96256,                      1,                 0.3444,              0.0087514,              0.0087514,              0.0087514
                    128,                0.00236,                0.96696,                      1,                0.34048,              0.0087414,              0.0087414,              0.0087414
